;Starngschema Strang 4;;;;;;;;;;;;;;;;;
;Rohrmaterial ;Viega Temponox;;;;;;;;;;;;;;;;
;Heizkörperanbindung 0,8 m;;;;;;;;;;;;;;;;;
;Δp Spreizung;15 K;;;;;;;;;;;;;;;;
;cp;1,163  WH / (kg*K);;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
4. OG;;WE 13;;WE 13;;;;WE 13;;WE 13;;WE 12;;;;;;
;;Zimmer 2;;Zimmer 1;;;;Bad;;Küche;;Zimmer 2;;;;;;
;;;;;;Strang 4;;;;;;;;;;;;
5 HK;;HK ;;HK ;Σ;;Σ;HK;;HK;;HK;;;;;;
;;1548 W;;1990 W;03,54 kW;;03,92 kW;1249 W;;0908 W;;1760 W;;;;;;
;;0089 l/h;V̇ ;0114 l/h;0203 l/h;;0224 l/h;0072 l/h;V̇ ;0052 l/h;V̇ ;0101 l/h;;;;;;
;;;0089 l/h;;;;;;0153 l/h;;0101 l/h;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;DN 12;DN 12;DN 12;DN 15;30,85 kW;DN 15;DN 12;DN 12;DN 12;DN 12;DN 12;;DN 12;13,00 m;;;
;;50 Pa/m;50 Pa/m;76 Pa/m;78 Pa/m;1769 l/h;92 Pa/m;35 Pa/m;127 Pa/m;19 Pa/m;62 Pa/m;62 Pa/m;;DN 15;06,50 m;;;
;v;0,19 m/s;0,19 m/s;0,24 m/s;0,29 m/s;DN 32;0,32 m/s;0,15 m/s;0,33 m/s;0,11 m/s;0,22 m/s;0,11 m/s;;DN 20;00,00 m;;;
;l / m;00,80 m;03,00 m;00,80 m;03,00 m;129 Pa/m;03,50 m;00,80 m;03,00 m;00,80 m;03,00 m;00,80 m;;DN 25;00,00 m;;;
;;;;;;0,62 m/s;;;;;;;;DN 32;05,00 m;;;
;;;;;;05,00 m;;;;;;;;DN 40;00,00 m;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
EG;;;;;;;;WE 2;2044 W;WE 2;;WE 2;;;;;;
;;;;;;;;Zimmer 3;;Zimer 3;;Zimmer 2;;;;;;
;;;;;;;;;;;;;;;;;;
3 HK;;;;;;;Σ;HK 1;;HK 2;;HK;;;;;;
;;;;;;;04,08 kW;1022 W;;1022 W;;2036 W;;;;;;
;;;;;;;0234 l/h;0059 l/h;V̇ ;0059 l/h;V̇ ;0117 l/h;;;;;;
;;;;;;;;;0175 l/h;;0117 l/h;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;DN 15;DN 12;DN 12;DN 12;DN 12;DN 12;;DN 12;09,90 m;;;
;;;;;;;99 Pa/m;25 Pa/m;161 Pa/m;25 Pa/m;80 Pa/m;80 Pa/m;;DN 15;01,00 m;;;
;;;;;v;;0,33 m/s;0,13 m/s;0,37 m/s;0,13 m/s;0,25 m/s;0,25 m/s;;DN 20;00,00 m;;;
;;;;;l / m;;01,00 m;00,80 m;02,00 m;00,80 m;05,50 m;00,80 m;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;Vorlauftemperatur;;70 °C;;DN 12;61,90 m
KG;;;;;;;;;;;;;Leistung;;34,93 kW;;DN 15;24,00 m
;;;;;;;;;;Kellerleitung zu Strang 4;;;Volumenstrom;;2002 l/h;;DN 20;04,00 m
;;;;;;;;;;;;;Nennweite;;DN 32;;DN 25;04,00 m
;23 HK;;;;;;;;;;;;Druckverlust;;161 Pa/m;;DN 32;15,00 m
;;;;;;;;;;;;;Fließgeschwindigkeit;;0,70 m/s;;DN 40;00,00 m
;;;;;;;;;;;;;Länge;;6,00 m;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
