;;;;;; ;;;;;;;;;;;;;;;;;;;;;
;;;;U;Z;;;A;;;;;Watt;;;;;;;;;;;;;;
;;Bauteil;Typ;"U-Wert
W/m²*K";"Wärme
brücken
Zuschlag
W/m²*K";"Länge 
m";"Höhe / Breite
m
";"Fläche
 m²";"Temp.
Raum
°C
";"Temp.
angr.
°C
";"fx
";"ΔT
K";"Heizlast
((U + Z) * A * fx *  ΔT)";;;;;;;;;;;;;;
Wohnung 9;6024 W;67,14 m²;;;;;;;;;;;;;;;;;;;;;;;;;
Temperaturdiffernz;ΔT 27 K;Wand Bad;Rapitzwand;2,5;0;1,50;2,50;3,75;15;24;-0,33;27;-0084 W;;;;;;;;;;;;;;
Luftwechsel;LW 0,20;Wand Zimmer 1;Rapitzwand;2,5;0;1,80;2,50;4,50;15;20;-0,19;27;-0056 W;;;;;;;;;;;;;;
;;Fußboden;Geschossdecke Holzbalkenbauweise;1;0;;;2,78;15;20;-0,19;27;-0014 W;;;;;;;;;;;;;;
;;Decke Abstellraum;Decke Abstellraum;2,1;1;;;2,78;15;24;-0,33;27;-0078 W;;;;;;;;;;;;;;
;;;;;;;;;;;;;-0131 W;;;;;;;;;;;;;;
;;;;;;;;;V m³;cp;;;cp * (V * LW) * (RT - AT);;;;;;;;;;;;;;
;;;;;;LW 0,20;2,50;02,78 m²;6,95;0,34;;;0015 W;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Summe Heizlast Abstellraum;;;;;;;;;;;;;-0116 W;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Flur (unbeheizt);;;;;;;;;;;;;0466 W;;;;;;;;;;;;;;
Transmissionswärmeverlust W;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fläche ;07,00 m²;Wand Treppenhaus;Wand massive Konstruktion Vollziegel verputzt 20 bis 30 cm;1,8;0,1;2,30;3,75;6,44;15;10;;5;0010 W;;;;;;;;;;;;;;
Raumhöhe;3,40 m;Wohnungstür;Türen Holzwerkstoff;2,9;0,1;0,95;2,30;2,19;15;10;;5;0015 W;;;;;;;;;;;;;;
Raumtemperatur;RT 15 °C;Wand Flur WE 3;Wand massive Konstruktion Vollziegel verputzt 20 bis 30 cm;1,8;0;1,40;3,75;5,25;15;15;;0;0000 W;;;;;;;;;;;;;;
Temperaturdiffernz;;Wand Flur WE 5;Wand massive Konstruktion Vollziegel verputzt 20 bis 30 cm;1,8;0;1,40;3,75;5,25;15;15;;0;0000 W;;;;;;;;;;;;;;
Luftwechsel;LW 0,20;;;;;;;;;;;;0025 W;;;;;;;;;;;;;;
Deckenhöhe;0,35m;;;;;;;;V m³;cp;;;;;;;;;;;;;;;;;
Lüftungswärmeverlust W;;;;;;0,2;3,40;7;23,80;0,34;;;cp * (V * LW) * (RT - RT TH);;;;;;;;;;;;;;
;;;;;;;;;;;;;0014 W;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Summe Heizlast Flur;;;;;;;;;;;;;-0427 W;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wohnung 11;7366 W;99,35 m²;;;;;;;;;;;;;;;;;;;;;;;;;
Zimmer 1;;;;;;;;;;;;;;;;;;;;;;;;;;;
Transmissionswärmeverlust W;;;;;;;;;;;;;((U + Z) * A * fx *  ΔT);;;;;;;;;;;;;;
Fläche ;21,00 m²;Außenwand;Wand massive Konstruktion Vollziegel verputzt größer 30 cm;1,5;0,1;2,20;3,75;5,05;20;-12;1;32;0259 W;;;;;;;;;;;;;;
Raumhöhe;3,40 m;Fenster 1;Fenster Kunststoff Zweifach Isolierverglasung;1,2;0,1;1,60;2,00;3,20;20;-12;1;32;0133 W;;;;;;;;;;;;;;
Raumtemperatur;RT 20 °C;Wand Nebengebäude;Wand massive Konstruktion Vollziegel verputzt bis 20 cm;2,8;0,1;3,80;3,75;14,25;20;15;0,16;32;0207 W;;;;;;;;;;;;;;
Temperaturdiffernz;ΔT 32 K;Wand Nebengebäude;Wand massive Konstruktion Vollziegel verputzt bis 20 cm;2,8;0,1;3,70;3,75;13,88;20;15;0,16;32;0201 W;;;;;;;;;;;;;;
Luftwechsel;LW 0,50;Wand Bad;Rapitzwand;2,5;0;3,50;3,75;13,13;20;24;-0,13;32;-0131 W;;;;;;;;;;;;;;
Deckenhöhe;0,35m;Wand Zimmer 2;Wand massive Konstruktion Vollziegel verputzt 20 bis 30 cm;1,8;0;2,50;3,75;9,38;20;20;0,00;32;0000 W;;;;;;;;;;;;;;
;;Wand Flur;Rapitzwand;2,5;0;3,50;3,75;11,19;20;15;0,16;32;0140 W;;;;;;;;;;;;;;
;;Tür Zimmer 1;Türen Holzwerkstoff;2,9;0;0,90;2,15;1,94;20;15;0,16;32;0028 W;;;;;;;;;;;;;;
;;Fußboden;Geschossdecke Holzbalkenbauweise;1;0;;;21,00;20;20;0,00;32;0000 W;;;;;;;;;;;;;;
;;Decke;Geschossdecke Holzbalkenbauweise;1;0;;;21,00;20;20;0,00;32;0000 W;;;;;;;;;;;;;;
;;;;;;;;;;;;;0836 W;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;V m³;cp;;;cp * (V * LW) * (RT - AT);;;;;;;;;;;;;;
Lüftungswärmeverlust W;;;;;;0,5;3,40;21,00; 71,40   ;0,34;;;0388 W;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Summe Heizlast Zimmer 1;;;;;;;;;;;;;1225 W;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Zimmer 2;;;;;;;;;;;;;;;;;;;;;;;;;;;
Transmissionswärmeverlust W;;;;;;;;;;;;;((U + Z) * A * fx *  ΔT);;;;;;;;;;;;;;
Fläche ;24,30 m²;Außenwand;Wand massive Konstruktion Vollziegel verputzt größer 30 cm;1,5;0,1;3,70;3,75;6,68;20;-12;1;32;0342 W;;;;;;;;;;;;;;
Raumhöhe;3,40 m;Fenster 1;Fenster Kunststoff Zweifach Isolierverglasung;1,2;0,1;;;7,20;20;-12;1;32;0300 W;;;;;;;;;;;;;;
Raumtemperatur;RT 20 °C;Wand Nebengebäude;Wand massive Konstruktion Vollziegel verputzt 20 bis 30 cm;1,8;0,1;6,10;3,75;22,88;20;15;0,16;32;0217 W;;;;;;;;;;;;;;
Temperaturdiffernz;ΔT 32 K;Wand Nebengebäude;Wand massive Konstruktion Vollziegel verputzt bis 20 cm;2,8;0,1;1,70;3,75;6,38;20;15;0,16;32;0092 W;;;;;;;;;;;;;;
Luftwechsel;LW 0,50;Wand Zimmer 1;Wand massive Konstruktion Vollziegel verputzt 20 bis 30 cm;1,8;0;2,50;3,75;-7,88;20;20;0,00;32;0000 W;;;;;;;;;;;;;;
Deckenhöhe;0,35m;Wand Zimmer 3;Rapitzwand;2,5;0;4,60;3,75;17,25;20;20;0,00;32;0000 W;;;;;;;;;;;;;;
;;Wand Flur;Rapitzwand;2,5;0;1,50;3,75;5,63;20;15;0,16;32;0070 W;;;;;;;;;;;;;;
;;Tür Zimmer 2;Türen Holzwerkstoff;2,9;0;0,90;2,15;1,94;20;15;0,16;32;0028 W;;;;;;;;;;;;;;
;;Fußboden;Geschossdecke Holzbalkenbauweise;1;0;;;24,30;20;20;0,00;32;0000 W;;;;;;;;;;;;;;
;;Decke;Geschossdecke Holzbalkenbauweise;1;0;;;24,30;20;20;0,00;32;0000 W;;;;;;;;;;;;;;
;;;;;;;;;;;;;1049 W;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;V m³;cp;;;cp * (V * LW) * (RT - AT);;;;;;;;;;;;;;
Lüftungswärmeverlust W;;;;;;0,5;3,40;24,30; 82,62   ;0,34;;;0449 W;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Summe Heizlast Zimmer 2;;;;;;;;;;;;;1499 W;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Zimmer 3 (zwei Heizkörper);;;;;;;;;;;;;;;;;;;;;;;;;;;
Transmissionswärmeverlust W;;;;;;;;;;;;;((U + Z) * A * fx *  ΔT);;;;;;;;;;;;;;
Fläche ;21,60 m²;Außenwand;Wand massive Konstruktion Vollziegel verputzt größer 30 cm;1,5;0,1;4,50;3,75;12,60;20;-12;1;32;0645 W;;;;;;;;;;;;;;
Raumhöhe;3,40 m;Fenster 1;Fenster Holzrahmen Zweifachverglasung;2,7;0,1;0,95;2,25;2,14;20;-12;1;32;0192 W;;;;;;;;;;;;;;
Raumtemperatur;RT 20 °C;Fenster 2;Fenster Holzrahmen Zweifachverglasung;2,7;0,1;0,95;2,25;2,14;20;-12;1,00;32;0192 W;;;;;;;;;;;;;;
Temperaturdiffernz;ΔT 32 K;Wand Zimmer 2 WE 4;Wand massive Konstruktion Vollziegel verputzt 20 bis 30 cm;1,8;0;5,80;3,75;21,75;20;20;0,00;32;0000 W;;;;;;;;;;;;;;
Luftwechsel;LW 0,50;Wand Zimmer 2;Rapitzwand;2,5;0;4,60;3,75;4,19;20;20;0,00;32;0000 W;;;;;;;;;;;;;;
Deckenhöhe;0,35m;Wand Flur;Wand massive Konstruktion Vollziegel verputzt 20 bis 30 cm;1,8;0;4,00;3,75;13,07;20;15;0,16;32;0118 W;;;;;;;;;;;;;;
;;Tür Zimmer 3;Türen Holzwerkstoff;2,9;0;0,90;2,15;1,94;20;15;0,16;32;0028 W;;;;;;;;;;;;;;
;;Fußboden;Geschossdecke Holzbalkenbauweise;1;0;;;21,60;20;20;0,00;32;0000 W;;;;;;;;;;;;;;
;;Decke;Geschossdecke Holzbalkenbauweise;1;0;;;21,60;20;20;0,00;32;0000 W;;;;;;;;;;;;;;
;;;;;;;;;;;;;1174 W;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;V m³;cp;;;cp * (V * LW) * (RT - AT);;;;;;;;;;;;;;
Lüftungswärmeverlust W;;;;;;0,5;3,40;21,60; 73,44   ;0,34;;;0400 W;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Summe Heizlast Zimmer 3;;;;;;;;;;;;;1573 W;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Küche;;;;;;;;;;;;;;;;;;;;;;;;;;;
Transmissionswärmeverlust W;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fläche ;09,65 m²;Außenwand;Wand massive Konstruktion Vollziegel verputzt größer 30 cm;1,5;0,1;3,00;3,75;9,45;20;-12;1,00;32;0484 W;;;;;;;;;;;;;;
Raumhöhe;3,40 m;Fenster;Fenster Holzrahmen Zweifachverglasung;2,7;0,1;1,00;1,80;1,80;20;-12;1,00;32;0161 W;;;;;;;;;;;;;;
Raumtemperatur;RT 20 °C;Wand Treppenhaus;Wand massive Konstruktion Vollziegel verputzt größer 30 cm;1,5;0,1;4,50;3,75;16,88;20;10;0,31;32;0270 W;;;;;;;;;;;;;;
Temperaturdiffernz;ΔT 32 K;Wand Abstellraum;Rapitzwand;2,5;0;1,30;3,75;4,88;20;15;0,16;32;0061 W;;;;;;;;;;;;;;
Luftwechsel;LW 0,50;Tür Abstellraum;Türen Holzwerkstoff;2,9;0;0,70;2,00;1,40;20;15;0,16;32;0020 W;;;;;;;;;;;;;;
Deckenhöhe;0,35m;Wand WC;Rapitzwand;2,5;0;3,00;3,75;11,25;20;15;0,16;32;0141 W;;;;;;;;;;;;;;
;;Wand Flur;Rapitzwand;2,5;0;2,50;3,75;7,44;20;15;0,16;32;0093 W;;;;;;;;;;;;;;
;;Tür Küche;Türen Holzwerkstoff;2,9;0;0,90;2,15;1,94;20;15;0,16;32;0028 W;;;;;;;;;;;;;;
;;Fußboden;Geschossdecke Holzbalkenbauweise;1;0;;;9,65;20;20;0,00;32;0000 W;;;;;;;;;;;;;;
;;Decke;Geschossdecke Holzbalkenbauweise;1;0;;;9,65;20;20;0,00;32;0000 W;;;;;;;;;;;;;;
;;;;;;;;;;;;;1258 W;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;V m³;cp;;;cp * (V * LW) * (RT - AT);;;;;;;;;;;;;;
Lüftungswärmeverlust W;;;;;;0,5;3,40;9,65;32,81;0,34;;;0178 W;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Summe Heizlast Küche;;;;;;;;;;;;;1437 W;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bad ;;;;;;;;;;;;;;;;;;;;;;;;;;;
Transmissionswärmeverlust W;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fläche ;04,85 m²;Außenwand;Wand massive Konstruktion Vollziegel verputzt größer 30 cm;1,5;0,1;1,40;3,75;4,05;24;-12;1,00;36;0233 W;;;;;;;;;;;;;;
Raumhöhe;3,40 m;Fenster;Fenster Kunststoff Zweifach Isolierverglasung;1,2;0,1;0,60;2,00;1,20;24;-12;1,00;36;0056 W;;;;;;;;;;;;;;
Raumtemperatur;RT 24 °C;Wand Abstellraum;Rapitzwand;2,5;0;1,10;3,75;4,13;24;15;0,25;36;0093 W;;;;;;;;;;;;;;
Temperaturdiffernz;ΔT 36 K;Wand WC;Rapitzwand;2,5;0;2,50;3,75;9,38;24;20;0,11;36;0094 W;;;;;;;;;;;;;;
Luftwechsel;LW 2,43;Wand Zimmer 1;Rapitzwand;2,5;0;3,50;3,75;13,13;24;20;0,11;36;0131 W;;;;;;;;;;;;;;
Deckenhöhe;0,35m;Wand Flur;Rapitzwand;2,5;0;1,40;3,75;3,99;24;15;0,25;36;0090 W;;;;;;;;;;;;;;
;;Tür Bad;Türen Holzwerkstoff;2,9;0;0,70;1,80;1,26;24;15;0,25;36;0033 W;;;;;;;;;;;;;;
;;Fußboden;Geschossdecke Holzbalkenbauweise;1;0;;;4,85;24;24;0,00;36;0000 W;;;;;;;;;;;;;;
;;Decke;Geschossdecke Holzbalkenbauweise;1;0;;;4,85;24;24;0,00;36;0000 W;;;;;;;;;;;;;;
;;;;;;;;;;;;;0730 W;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;V m³;cp;;;cp * (V * LW) * (RT - AT);;;;;;;;;;;;;;
Lüftungswärmeverlust W;;;;;;2,43;3,40;4,85;16,49;0,34;;;0490 W;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Summe Heizlast Bad;;;;;;;;;;;;;1220 W;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Abstellraum (unbeheizt);;;;;;;;;;;;;;;;;;;;;;;;;;;
Transmissionswärmeverlust W;;Außenwand;Wand massive Konstruktion Vollziegel verputzt größer 30 cm;1,5;0,1;1,40;2,00;2,36;15;-12;1,00;27;0102 W;;;;;;;;;;;;;;
Fläche ;01,48 m²;Fenster;Fenster Holzrahmen Zweifachverglasung;2,7;0,1;0,37;1,20;0,44;15;-12;1,00;27;0034 W;;;;;;;;;;;;;;
Raumhöhe;3,50 m;Wand Küche;Rapitzwand;2,5;0;1,10;2,00;0,94;15;20;-0,19;27;-0012 W;;;;;;;;;;;;;;
Raumtemperatur;RT 15 °C;Tür Abstellraum;Türen Holzwerkstoff;2,9;0;0,70;1,80;1,26;15;20;-0,19;27;-0018 W;;;;;;;;;;;;;;
Temperaturdiffernz;ΔT 27 K;Wand WC;Rapitzwand;2,5;0;1,40;2,00;2,80;15;20;-0,19;27;-0035 W;;;;;;;;;;;;;;
Luftwechsel;LW 0,20;Wand Bad;Rapitzwand;2,5;0;1,10;2,00;2,20;15;24;-0,33;27;-0050 W;;;;;;;;;;;;;;
;;Fußboden;Geschossdecke Holzbalkenbauweise;1;0;;;1,48;15;15;0,00;27;0000 W;;;;;;;;;;;;;;
;;Decke Abstellraum;Decke Abstellraum;2,1;1;;;1,48;15;20;-0,19;27;-0023 W;;;;;;;;;;;;;;
;;;;;;;;;;;;;-0002 W;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;V m³;cp;;;cp * (V * LW) * (RT - AT);;;;;;;;;;;;;;
;;;;;;0,2;3,50;01,48 m²;5,18;0,34;;;0010 W;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Summe Heizlast Abstellraum;;;;;;;;;;;;;0007 W;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
WC (Außenwand über Abstellraum), (+ Raumvolumen über Abstellraum);;;;;;;;;;;;;;;;;;;;;;;;;;;
Transmissionswärmeverlust W;;Außenwand;Wand massive Konstruktion Vollziegel verputzt größer 30 cm;1,5;0,1;1,40;1,75;1,97;20;-12;1,00;32;0101 W;;;;;;;;;;;;;;
Fläche ;03,37 m²;Fenster;Fenster Holzrahmen Zweifachverglasung;2,7;0,1;0,37;1,30;0,48;20;-12;1,00;32;0043 W;;;;;;;;;;;;;;
Raumhöhe;3,40 m;Wand Bad;Rapitzwand;2,5;0;2,50;3,75;9,38;20;24;-0,13;32;-0094 W;;;;;;;;;;;;;;
Raumtemperatur;RT 15 °C;Wand Abstellraum;Rapitzwand;2,5;0;1,40;2,00;2,80;20;15;0,16;32;0035 W;;;;;;;;;;;;;;
Temperaturdiffernz;;Wand Küche;Rapitzwand;2,5;0;3,00;3,75;11,25;20;20;0,00;32;0000 W;;;;;;;;;;;;;;
Luftwechsel;LW 2,00;Wand Flur;Rapitzwand;2,5;0;1,40;3,75;3,99;20;15;0,16;32;0050 W;;;;;;;;;;;;;;
Deckenhöhe;0,35m;Tür WC;Türen Holzwerkstoff;2,9;0;0,70;1,80;1,26;20;15;0,16;32;0018 W;;;;;;;;;;;;;;
;;Fußboden;Geschossdecke Holzbalkenbauweise;1;0;;;3,37;20;20;0,00;32;0000 W;;;;;;;;;;;;;;
;;Decke;Geschossdecke Holzbalkenbauweise;1;0;;;3,37;20;20;0,00;32;0000 W;;;;;;;;;;;;;;
über Abstellraum;;Wand Bad;Rapitzwand;2,5;0;1,10;1,75;1,93;20;24;-0,13;32;-0019 W;;;;;;;;;;;;;;
;;Wand Küche;Rapitzwand;2,5;0;1,10;1,75;1,93;20;20;0,00;32;0000 W;;;;;;;;;;;;;;
;;Decke ;Geschossdecke Holzbalkenbauweise;1;0;;;1,48;20;15;0,16;32;0007 W;;;;;;;;;;;;;;
;;Decke zu Abstellraum;Decke Abstellraum;2,1;0;;;1,48;20;15;0,16;32;0016 W;;;;;;;;;;;;;;
;;;;;;;;;;;;;0157 W;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;V m³;cp;;;cp * (V * LW) * (RT - AT);;;;;;;;;;;;;;
;;;;;;2,00;3,40;03,37 m²;11,46;0,34;;;0210 W;;;;;;;;;;;;;;
;;;;;;2,00;1,40;01,48 m²;2,07;0,34;;;0038 W;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Summe Heizlast WC;;;;;;;;;;;;;0405 W;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Flur (unbeheizt);;;;;;;;;;;;;0628 W;;;;;;;;;;;;;;
Transmissionswärmeverlust W;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fläche ;13,10 m²;Wand Treppenhaus;Wand massive Konstruktion Vollziegel verputzt 20 bis 30 cm;1,8;0,1;1,75;3,75;4,38;15;10;;5;0010 W;;;;;;;;;;;;;;
Raumhöhe;3,40 m;Wohnungstür;Türen Holzwerkstoff;2,9;0,1;0,95;2,30;2,19;15;10;;5;0015 W;;;;;;;;;;;;;;
Raumtemperatur;RT 15 °C;;;;;;;;;;;;0025 W;;;;;;;;;;;;;;
Temperaturdiffernz;;;;;;;;;;;;;;;;;;;;;;;;;;;
Luftwechsel;LW 0,20;;;;;;;;V m³;cp;;;cp * (V * LW) * (RT - RT TH);;;;;;;;;;;;;;
Lüftungswärmeverlust W;;;;;;0,2;3,40;13,1;44,54;0,34;;;0015 W;;;;;;;;;;;;;;
Deckenhöhe;0,35m;;;;;;;;;;;;;;;;;;;;;;;;;;
Summe Heizlast Flur;;;;;;;;;;;;;-0588 W;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
