;;;;;; ;;;;;;;;;;;;;;;;;;;;;
;;;;U;Z;;;A;;;;;Watt;;;;;;;;;;;;;;
;;Bauteil;Typ;"U-Wert
W/m²*K";"Wärme
brücken
Zuschlag
W/m²*K";"Länge 
m";"Höhe / Breite
m
";"Fläche
 m²";"Temp.
Raum
°C
";"Temp.
angr.
°C
";"fx
";"ΔT
K";"Heizlast
((U + Z) * A * fx *  ΔT)";;;;;;;;;;;;;;
Wohnung 9;6024 W;67,14 m²;;;;;;;;;;;;;;;;;;;;;;;;;
Deckenhöhe;0,35m;Wand Flur;Rapitzwand;2,5;0;1,10;3,75;2,73;24;15;0,25;36;0061 W;;;;;;;;;;;;;;
;;Tür Bad;Türen Holzwerkstoff;2,9;0;0,70;2,00;1,40;24;15;0,25;36;0037 W;;;;;;;;;;;;;;
;;Fußboden;Geschossdecke Holzbalkenbauweise;1;0;;;5,96;24;24;0,00;36;0000 W;;;;;;;;;;;;;;
;;Decke;Geschossdecke Holzbalkenbauweise;1;0;;;5,96;24;24;0,00;36;0000 W;;;;;;;;;;;;;;
;;;;;;;;;;;;;1084 W;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;V m³;cp;;;cp * (V * LW) * (RT - AT);;;;;;;;;;;;;;
Lüftungswärmeverlust W;;;;;;1,97;3,40;5,96;20,26;0,34;;;0490 W;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Summe Heizlast Bad;;;;;;;;;;;;;1574 W;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Küche;;;;;;;;;;;;;;;;;;;;;;;;;;;
Transmissionswärmeverlust W;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fläche ;09,60 m²;Außenwand;Wand massive Konstruktion Vollziegel verputzt größer 30 cm;1,5;0,1;2,60;3,75;7,85;20;-12;1,00;32;0402 W;;;;;;;;;;;;;;
Raumhöhe;3,40 m;Fenster;Fenster Kunststoff Zweifach Isolierverglasung;1,2;0,1;0,95;2,00;1,90;20;-12;1,00;32;0079 W;;;;;;;;;;;;;;
Raumtemperatur;RT 20 °C;Wand Treppenhaus;Wand massive Konstruktion Vollziegel verputzt größer 30 cm;1,5;0,1;4,20;3,75;15,75;20;10;0,31;32;0252 W;;;;;;;;;;;;;;
Temperaturdiffernz;ΔT 32 K;Wand Flur;Rapitzwand;2,5;0;3,30;3,75;10,44;20;15;0,16;32;0131 W;;;;;;;;;;;;;;
Luftwechsel;LW 0,50;Tür Küche;Türen Holzwerkstoff;2,9;0;0,90;2,15;1,94;20;15;0,16;32;0028 W;;;;;;;;;;;;;;
Deckenhöhe;0,35m;Wand Abstellraum;Rapitzwand;2,5;0;1,00;3,75;2,49;20;15;0,16;32;0031 W;;;;;;;;;;;;;;
;;Tür Abstellraum;Türen Holzwerkstoff;2,9;0;0,70;1,80;1,26;20;15;0,16;32;0018 W;;;;;;;;;;;;;;
;;Wand WC;Rapitzwand;2,5;0;2,00;3,75;7,50;20;15;0,16;32;0094 W;;;;;;;;;;;;;;
;;Fußboden;Geschossdecke Holzbalkenbauweise;1;0;;;9,60;20;20;0,00;32;0000 W;;;;;;;;;;;;;;
;;Decke;Geschossdecke Holzbalkenbauweise;1;0;;;9,60;20;20;0,00;32;0000 W;;;;;;;;;;;;;;
;;;;;;;;;;;;;1035 W;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;V m³;cp;;;cp * (V * LW) * (RT - AT);;;;;;;;;;;;;;
Lüftungswärmeverlust W;;;;;;0,5;3,40;9,60;32,64;0,34;;;0178 W;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Summe Heizlast Küche;;;;;;;;;;;;;1212 W;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
WC (Außenwand über Abstellraum), (+ Raumvolumen über Abstellraum);;;;;;;;;;;;;;;;;;;;;;;;;;;
Transmissionswärmeverlust W;;Außenwand;Wand massive Konstruktion Vollziegel verputzt größer 30 cm;1,5;0,1;0,80;1,75;0,92;20;-12;1,00;32;0047 W;;;;;;;;;;;;;;
Fläche ;02,98 m²;Fenster;Fenster Holzrahmen Zweifachverglasung;2,7;0,1;0,37;1,30;0,48;20;-12;1,00;32;0043 W;;;;;;;;;;;;;;
Raumhöhe;3,40 m;Wand Bad;Rapitzwand;2,5;0;2,50;3,75;9,38;20;24;-0,13;32;-0094 W;;;;;;;;;;;;;;
Raumtemperatur;RT 20 °C;Wand Abstellraum;Rapitzwand;2,5;0;1,10;2,00;2,20;20;15;0,16;32;0028 W;;;;;;;;;;;;;;
Temperaturdiffernz;;Wand Küche;Rapitzwand;2,5;0;2,50;3,75;9,38;20;20;0,00;32;0000 W;;;;;;;;;;;;;;
Luftwechsel;LW 2,00;Wand Flur;Rapitzwand;2,5;0;1,50;3,75;4,37;20;15;0,16;32;0055 W;;;;;;;;;;;;;;
Deckenhöhe;0,35m;Tür WC;Türen Holzwerkstoff;2,9;0;0,70;1,80;1,26;20;15;0,16;32;0018 W;;;;;;;;;;;;;;
;;Fußboden;Geschossdecke Holzbalkenbauweise;1;0;;;2,98;20;20;0,00;32;0000 W;;;;;;;;;;;;;;
;;Decke;Geschossdecke Holzbalkenbauweise;1;0;;;2,98;20;20;0,00;32;0000 W;;;;;;;;;;;;;;
über Abstellraum;;Wand Bad;Rapitzwand;2,5;0;1,00;1,75;1,75;20;24;-0,13;32;-0018 W;;;;;;;;;;;;;;
;;Wand Küche;Rapitzwand;2,5;0;1,00;1,75;1,75;20;20;0,00;32;0000 W;;;;;;;;;;;;;;
;;Decke ;Geschossdecke Holzbalkenbauweise;1;0;;;0,82;20;15;0,16;32;0004 W;;;;;;;;;;;;;;
;;Decke zu Abstellraum;Decke Abstellraum;2,1;0;;;0,82;20;15;0,16;32;0009 W;;;;;;;;;;;;;;
;;;;;;;;;;;;;0092 W;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;V m³;cp;;;cp * (V * LW) * (RT - AT);;;;;;;;;;;;;;
;;;;;;LW 2,00;3,40;02,98 m²;10,13;0,34;;;0220 W;;;;;;;;;;;;;;
;;;;;;LW 2,00;1,50;00,82 m²;1,23;0,34;;;0027 W;;;;;;;;;;;;;;
;;;;;;;;;11,36;;;;;;;;;;;;;;;;;;
Summe Heizlast WC;;;;;;;;;;;;;0652 W;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Abstellraum (unbeheizt);;;;;;;;;;;;;;;;;;;;;;;;;;;
Transmissionswärmeverlust W;;Außenwand;Wand massive Konstruktion Vollziegel verputzt größer 30 cm;1,5;0,1;1,00;2,00;1,56;15;-12;1,00;27;0067 W;;;;;;;;;;;;;;
Fläche ;00,82 m²;Fenster;Fenster Holzrahmen Zweifachverglasung;2,7;0,1;0,37;1,20;0,44;15;-12;1,00;27;0034 W;;;;;;;;;;;;;;
Raumhöhe;2,00 m;Wand Küche;Rapitzwand;2,5;0;1,00;2,00;0,74;15;20;-0,19;27;-0009 W;;;;;;;;;;;;;;
Raumtemperatur;RT 15 °C;Tür Abstellraum;Türen Holzwerkstoff;2,9;0;0,70;1,80;1,26;15;20;-0,19;27;-0018 W;;;;;;;;;;;;;;
Temperaturdiffernz;ΔT 27 K;Wand WC;Rapitzwand;2,5;0;1,10;2,00;2,20;15;20;-0,19;27;-0028 W;;;;;;;;;;;;;;
Luftwechsel;LW 0,20;Wand Bad;Rapitzwand;2,5;0;1,00;2,00;2,00;15;24;-0,33;27;-0045 W;;;;;;;;;;;;;;
;;Fußboden;Geschossdecke Holzbalkenbauweise;1;0;;;0,82;15;15;0,00;27;0000 W;;;;;;;;;;;;;;
;;Decke Abstellraum;Decke Abstellraum;2,1;1;;;0,82;15;20;-0,19;27;-0013 W;;;;;;;;;;;;;;
;;;;;;;;;;;;;-0012 W;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;V m³;cp;;;cp * (V * LW) * (RT - AT);;;;;;;;;;;;;;
;;;;;;0,2;2,00;00,82 m²;1,64;0,34;;;0004 W;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Summe Heizlast Abstellraum;;;;;;;;;;;;;-0008 W;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Flur (unbeheizt);;;;;;;;;;;;;0492 W;;;;;;;;;;;;;;
Transmissionswärmeverlust W;;;;;;;;;;;;;;;;;;;;;;;;;;;
