;Artikelnummer;Menge;Beschreibung 1;Beschreibung 2;Listenpreis;Nettowert;
ART;TEMPT221515;1,000;Temponox T-Stück 22 x 15 x 15mm;nichtr. Stahl, Pressanschl.  nicht f. TW;33,8 €;15,21 €;
ART;TEMPT2215;1,000;Temponox T-Stück 22 x 15 x 22mm;nichtr. Stahl, Pressanschl.  nicht f. TW;16,9 €;7,61 €;
ART;TEMPT221818;1,000;Temponox T-Stück 22 x 18 x 18mm;nichtr. Stahl, Pressanschl.  nicht f. TW;39,4 €;17,73 €;
ART;TEMPT2218;1,000;Temponox T-Stück 22 x 18 x 22mm;nichtr. Stahl, Pressanschl.  nicht f. TW;17,1 €;7,70 €;
ART;TEMPT222215;1,000;Temponox T-Stück 22 x 22 x 15mm;nichtr. Stahl, Pressanschl.  nicht f. TW;40,6 €;18,27 €;
ART;TEMPT22;1,000;Temponox T-Stück 22mm;nichtr. Stahl, Pressanschl.  nicht f. TW;17 €;7,65 €;
ART;TEMPT2228;1,000;Temponox T-Stück 22 x 28 x 22mm;nichtr. Stahl, Pressanschl.  nicht f. TW;35,8 €;16,11 €;
ART;TEMPT2815;1,000;Temponox T-Stück 28 x 15 x 28mm;nichtr. Stahl, Pressanschl.  nicht f. TW;23,9 €;10,76 €;
ART;TEMPT2818;1,000;Temponox T-Stück 28 x 18 x 28mm;nichtr. Stahl, Pressanschl.  nicht f. TW;24,2 €;10,89 €;
ART;TEMPT282222;1,000;Temponox T-Stück 28 x 22 x 22mm;nichtr. Stahl, Pressanschl.  nicht f. TW;41,1 €;18,50 €;
ART;TEMPT2822;1,000;Temponox T-Stück 28 x 22 x 28mm;nichtr. Stahl, Pressanschl.  nicht f. TW;24,5 €;11,03 €;
ART;TEMPT28;1,000;Temponox T-Stück 28mm;nichtr. Stahl, Pressanschl.  nicht f. TW;22,6 €;10,17 €;
ART;TEMPT3515;1,000;Temponox T-Stück 35 x 15 x 35mm;nichtr. Stahl, Pressanschl.  nicht f. TW;34,2 €;15,39 €;
ART;TEMPT3518;1,000;Temponox T-Stück 35 x 18 x 35mm;nichtr. Stahl, Pressanschl.  nicht f. TW;34,7 €;15,62 €;
ART;TEMPT3522;1,000;Temponox T-Stück 35 x 22 x 35mm;nichtr. Stahl, Pressanschl.  nicht f. TW;35,2 €;15,84 €;
ART;TEMPT3528;1,000;Temponox T-Stück 35 x 28 x 35mm;nichtr. Stahl, Pressanschl.  nicht f. TW;35,9 €;16,16 €;
ART;TEMPT35;1,000;Temponox T-Stück 35mm;nichtr. Stahl, Pressanschl.  nicht f. TW;35 €;15,75 €;
ART;TEMPT4215;1,000;Temponox T-Stück 42 x 15 x 42mm;nichtr. Stahl, Pressanschl.  nicht f. TW;46,7 €;21,02 €;
ART;TEMPT4218;1,000;Temponox T-Stück 42 x 18 x 42mm;nichtr. Stahl, Pressanschl.  nicht f. TW;45,5 €;20,48 €;
ART;TEMPT4222;1,000;Temponox T-Stück 42 x 22 x 42mm;nichtr. Stahl, Pressanschl.  nicht f. TW;48,2 €;21,69 €;
ART;TEMPT4228;1,000;Temponox T-Stück 42 x 28 x 42mm;nichtr. Stahl, Pressanschl.  nicht f. TW;48,8 €;21,96 €;
ART;TEMPT4235;1,000;Temponox T-Stück 42 x 35 x 42mm;nichtr. Stahl, Pressanschl.  nicht f. TW;47,7 €;21,47 €;
ART;TEMPT42;1,000;Temponox T-Stück 42mm;nichtr. Stahl, Pressanschl.  nicht f. TW;51,6 €;23,22 €;
ART;TEMPT5415;1,000;Temponox T-Stück 54 x 15 x 54mm;nichtr. Stahl, Pressanschl.  nicht f. TW;56,3 €;25,34 €;
ART;TEMPT5418;1,000;Temponox T-Stück 54 x 18 x 54mm;nichtr. Stahl, Pressanschl.  nicht f. TW;61,2 €;27,54 €;
ART;TEMPT5422;1,000;Temponox T-Stück 54 x 22 x 54mm;nichtr. Stahl, Pressanschl.  nicht f. TW;59,5 €;26,78 €;
ART;TEMPT5428;1,000;Temponox T-Stück 54 x 28 x 54mm;nichtr. Stahl, Pressanschl.  nicht f. TW;57,8 €;26,01 €;
ART;TEMPT5435;1,000;Temponox T-Stück 54 x 35 x 54mm;nichtr. Stahl, Pressanschl.  nicht f. TW;59,4 €;26,73 €;
ART;TEMPT5442;1,000;Temponox T-Stück 54 x 42 x 54mm;nichtr. Stahl, Pressanschl.  nicht f. TW;62,2 €;27,99 €;
ART;TEMPT54;1,000;Temponox T-Stück 54mm;nichtr. Stahl, Pressanschl.  nicht f. TW;62,2 €;27,99 €;
ART;TEMPUS1510A;1,000;Temponox Übergangsstück 15mm x 3/8" AG;nichtr. Stahl, Pressanschl.  nicht f. TW;16,6 €;7,47 €;
ART;TEMPUS1515A;1,000;Temponox Übergangsstück 15mm x 1/2" AG;nichtr. Stahl, Pressanschl.  nicht f. TW;14,1 €;6,35 €;
ART;TEMPUS1520A;1,000;Temponox Übergangsstück 15mm x 3/4" AG;nichtr. Stahl, Pressanschl.  nicht f. TW;16,9 €;7,61 €;
ART;TEMPUS1815A;1,000;Temponox Übergangsstück 18mm x 1/2" AG;nichtr. Stahl, Pressanschl.  nicht f. TW;17,2 €;7,74 €;
ART;TEMPUS1820A;1,000;Temponox Übergangsstück 18mm x 3/4" AG;nichtr. Stahl, Pressanschl.  nicht f. TW;18 €;8,10 €;
ART;TEMPUS2215A;1,000;Temponox Übergangsstück 22mm x 1/2" AG;nichtr. Stahl, Pressanschl.  nicht f. TW;22,5 €;10,13 €;
ART;TEMPUS2220A;1,000;Temponox Übergangsstück 22mm x 3/4" AG;nichtr. Stahl, Pressanschl.  nicht f. TW;18,1 €;8,15 €;
ART;TEMPUS2225A;1,000;Temponox Übergangsstück 22mm x 1" AG;nichtr. Stahl, Pressanschl.  nicht f. TW;16,6 €;7,47 €;
ART;TEMPUS2815A;1,000;Temponox Übergangsstück 28mm x 1/2" AG;nichtr. Stahl, Pressanschl.  nicht f. TW;26,3 €;11,84 €;
ART;TEMPUS2825A;1,000;Temponox Übergangsstück 28mm x 1" AG;nichtr. Stahl, Pressanschl.  nicht f. TW;24,5 €;11,03 €;
ART;TEMPUS2820A;1,000;Temponox Übergangsstück 28mm x 3/4" AG;nichtr. Stahl, Pressanschl.  nicht f. TW;27,9 €;12,56 €;
ART;TEMPUS2832A;1,000;Temponox Übergangsstück 28mm x 1 1/4" AG;nichtr. Stahl, Pressanschl.  nicht f. TW;29 €;13,05 €;
ART;TEMPUS3540A;1,000;Temponox Übergangsstück 35mm x 1 1/2" AG;nichtr. Stahl, Pressanschl.  nicht f. TW;35,6 €;16,02 €;
ART;TEMPUS4232A;1,000;Temponox Übergangsstück 42mm x 1 1/4" AG;nichtr. Stahl, Pressanschl.  nicht f. TW;39,5 €;17,78 €;
ART;TEMPUS4240A;1,000;Temponox Übergangsstück 42mm x 1 1/2" AG;nichtr. Stahl, Pressanschl.  nicht f. TW;44,9 €;20,21 €;
ART;TEMPUS5450A;1,000;Temponox Übergangsstück 54mm x 2" AG;nichtr. Stahl, Pressanschl.  nicht f. TW;75,2 €;33,84 €;
ART;TEMPUS1510I;1,000;Temponox Übergangsstück 15mm x 3/8" IG;nichtr. Stahl, Pressanschl.  nicht f. TW;16,6 €;7,47 €;
ART;TEMPUS1515I;1,000;Temponox Übergangsstück 15mm x 1/2" IG;nichtr. Stahl, Pressanschl.  nicht f. TW;14,9 €;6,71 €;
ART;TEMPUS1520I;1,000;Temponox Übergangsstück 15mm x 3/4" IG;nichtr. Stahl, Pressanschl.  nicht f. TW;19,8 €;8,91 €;
ART;TEMPUS1815I;1,000;Temponox Übergangsstück 18mm x 1/2" IG;nichtr. Stahl, Pressanschl.  nicht f. TW;16,9 €;7,61 €;
