;Artikelnummer;Menge;Beschreibung 1;Beschreibung 2;Listenpreis;Nettowert;
ART;RORS8005450;1,000;Rohrschale 800 1000mm lang   54/50mm;nach GEG 100% (außer für VA);46,1 €;13,83 €;
ART;RORS8001520;1,000;Rohrschale 800 1000mm lang   15/20mm;nach GEG 100%;11,8 €;3,54 €;
ART;RORS8001820;1,000;Rohrschale 800 1000mm lang   18/20mm;nach GEG 100%;12,7 €;3,81 €;
ART;RORS8002220;1,000;Rohrschale 800 1000mm lang   22/20mm;nach GEG 100%;13,4 €;4,02 €;
ART;RORS8002830;1,000;Rohrschale 800 1000mm lang   28/30mm;nach GEG 100%;21,6 €;6,48 €;
ART;RORS8003530;1,000;Rohrschale 800 1000mm lang   35/30mm;nach GEG 100%;22,8 €;6,84 €;
ART;RORS8004240;1,000;Rohrschale 800 1000mm lang   42/40mm;nach GEG 100%;33,2 €;9,96 €;
ART;RORS8006460;1,000;Rohrschale 800 1000mm lang   64/60mm;nach GEG 100%;59,9 €;17,97 €;
ART;RORS8007680;1,000;Rohrschale 800 1000mm lang   76/80mm;nach GEG 100%;91,1 €;27,33 €;
